participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,block,global_block_order,within_block_position,cumulative_trial_order,z_log_total_word_count,z_enem_correctness,response_time_sec,front_roi_mean_variable_lag4,front_roi_mean,back_roi_mean_variable_lag4,manual_override_session,no_override_cohort
PID002,1,2025-11-06_PID002,2018_CH_77,4,Concrete,0.0,C1,1,1,1,-0.94294931884182,-1.310288679405072,57.91358100000002,1.5549386944826157e-07,6.576306676931176e-08,-8.864752323193832e-08,False,True
PID002,1,2025-11-06_PID002,2021_CH_76,22,Concrete,0.0,C1,1,2,2,0.3601753510213835,-1.5422365867215426,145.25802699999997,-3.788533804824286e-07,-3.069758609685472e-07,-1.0806844030065753e-07,False,True
PID002,1,2025-11-06_PID002,2020_CH_78,14,Concrete,0.0,C1,1,3,3,-2.3361669895037065,0.0020441611073083,73.785597,-2.895673406552605e-07,-1.1344695784901093e-07,-2.534502755705363e-07,False,True
PID002,1,2025-11-06_PID002,2018_LC_44,5,Concrete,0.0,C2,2,1,4,1.389688140576973,-0.6674086028177602,81.92507499999999,-1.969249758032977e-08,-2.1573072234019825e-08,-1.9725910098874687e-08,False,True
PID002,1,2025-11-06_PID002,2020_CH_70,11,Concrete,0.0,C2,2,2,5,-0.169030538835905,-1.0488884828831635,94.91064700000004,-5.210544544423634e-07,-2.430160473325589e-07,-8.417004239092901e-08,False,True
PID002,1,2025-11-06_PID002,2021_CH_46,18,Concrete,0.0,C2,2,3,6,-0.3125269842682109,1.4273572571066844,104.38167,-3.71504605053108e-07,-1.197724720342017e-07,-3.388643440892744e-07,False,True
PID002,1,2025-11-06_PID002,2021_LC_26,25,Concrete,0.0,C3,3,1,7,2.264859834801295,-0.5607517593851553,187.3817570000001,-3.714163852322085e-07,-2.431897620537316e-07,-7.040201018369555e-08,False,True
PID002,1,2025-11-06_PID002,2017_CH_47,0,Concrete,0.0,C3,3,2,8,-0.4260686437746248,1.0979750828394783,46.429619,-5.251125168650088e-07,-6.90716775210475e-08,-1.4016636564426338e-07,False,True
PID002,1,2025-11-06_PID002,2020_CH_59,10,Concrete,0.0,C3,3,3,9,-0.2041092841510671,0.5696170426960993,65.11319600000002,4.031525531446896e-07,1.1250370085198946e-07,9.871925225164917e-08,False,True
PID002,1,2025-11-06_PID002,2017_CH_75,3,Concrete,0.0,C4,4,1,10,0.929652535764228,-1.4157789468713895,89.63437399999998,-1.039291689825373e-07,-1.942226841072812e-07,-2.9710951628580108e-08,False,True
PID002,1,2025-11-06_PID002,2020_CH_84,16,Concrete,0.0,C4,4,2,11,-0.5863181049301306,-1.2526273197494673,79.6178789999999,-1.2220769702464576e-07,-6.83998921439871e-08,-1.397797766232877e-07,False,True
PID002,1,2025-11-06_PID002,2020_CH_82,15,Concrete,0.0,C4,4,3,12,0.8398158527831238,0.4360691378486896,61.71488799999997,-3.2021194594279085e-08,-1.677896444273503e-07,5.968919476278418e-08,False,True
PID002,1,2025-11-06_PID002,2017_CH_68,1,Concrete,0.0,C5,5,1,13,-0.9914934219713682,-1.3364726213150109,114.8661910000003,-4.272444142496333e-07,-2.076406882121906e-07,-2.129215601478962e-07,False,True
PID002,1,2025-11-06_PID002,2020_CH_56,9,Concrete,0.0,C5,5,2,14,-2.2518477633179645,0.7573109318980379,30.93014800000037,-8.77259954922104e-08,-4.37771090378143e-08,-2.1545124417568805e-08,False,True
PID002,1,2025-11-06_PID002,2017_CH_69,2,Concrete,0.0,C5,5,3,15,-0.4260686437746248,-0.7521308608059422,93.91035399999964,-1.259675571553397e-07,-2.912820736249408e-08,2.968193060916972e-08,False,True
PID002,1,2025-11-06_PID002,2019_CH_56,6,Abstract,1.0,A1,6,1,16,-0.0667661106566081,0.0717737519545465,101.042007,-4.9454072423589064e-08,-2.425524436739346e-07,1.0598707583608674e-07,False,True
PID002,1,2025-11-06_PID002,2021_CH_65,21,Abstract,1.0,A1,6,2,17,-0.1344565412126754,2.301474938515612,52.90142999999989,1.3363563532643468e-07,-1.0633395508552469e-07,-5.3274024683731896e-08,False,True
PID002,1,2025-11-06_PID002,2020_CH_77,13,Abstract,1.0,A1,6,3,18,0.1561746054758361,-0.6844944649159799,93.69272,-1.7150926349384026e-08,1.2492044235759298e-07,-3.5719809224172306e-08,False,True
PID002,1,2025-11-06_PID002,2021_CH_57,20,Abstract,1.0,A2,7,1,19,-1.2501139118066624,-0.5984069705038608,82.38033700000005,-5.881118107205698e-08,-5.054367770251612e-08,7.675914965186638e-08,False,True
PID002,1,2025-11-06_PID002,2020_CH_76,12,Abstract,1.0,A2,7,2,20,0.1255646198243954,-0.511405592177757,146.5402909999998,-1.264248528900282e-07,5.473855300021264e-08,4.171970876258812e-09,False,True
PID002,1,2025-11-06_PID002,2021_CH_86,24,Abstract,1.0,A2,7,3,21,-0.5048577147492145,1.3097621052999473,93.16674299999976,-6.70730586658415e-07,-4.1900188730619653e-07,-2.844448984612169e-07,False,True
PID002,1,2025-11-06_PID002,2020_LC_31,17,Abstract,1.0,A3,8,1,22,1.2969024283525536,0.491072224108366,99.4104540000003,-2.8374240324354617e-07,-9.563777147563768e-08,-1.939489015524172e-09,False,True
PID002,1,2025-11-06_PID002,2022_CH_51,27,Abstract,1.0,A3,8,2,23,0.4959657933609324,-0.9765675923399836,78.03264200000012,-1.6744850102445521e-07,-2.804545656760947e-07,-3.355171315886559e-07,False,True
PID002,1,2025-11-06_PID002,2022_CH_47,26,Abstract,1.0,A3,8,3,24,1.0374217805060666,0.6865312817739867,117.85933299999988,-1.61897219218986e-07,-4.719717678682655e-08,2.278240701069945e-09,False,True
PID002,1,2025-11-06_PID002,2019_CH_64,7,Abstract,1.0,A4,9,1,25,0.8851540163061837,1.676860146097159,97.57373300000016,-4.316381578497381e-07,-6.580686442104022e-08,-2.243398458365667e-07,False,True
PID002,1,2025-11-06_PID002,2022_CH_71,29,Abstract,1.0,A4,9,2,26,-0.5452427221661849,0.4620415654524358,80.68608499999982,-2.411943111483552e-07,-2.3440255086836682e-07,-3.199129963798665e-07,False,True
PID002,1,2025-11-06_PID002,2021_CH_51,19,Abstract,1.0,A4,9,3,27,-0.6706373311158704,0.6512534794066687,76.06075400000009,-5.6106505633188487e-08,-1.459226764322589e-07,-1.9924867440804414e-07,False,True
PID002,1,2025-11-06_PID002,2022_CH_60,28,Abstract,1.0,A5,10,1,28,0.4425668985007616,0.5286921676923586,78.10410500000035,-1.318356411443278e-07,-6.481924818082624e-08,-2.8331336082030014e-07,False,True
PID002,1,2025-11-06_PID002,2019_CH_65,8,Abstract,1.0,A5,10,2,29,0.4154157465811737,-0.3021956459204002,56.66630299999997,1.1649913858629213e-08,-4.552377517155362e-08,-2.044626379131118e-07,False,True
PID002,1,2025-11-06_PID002,2021_CH_83,23,Abstract,1.0,A5,10,3,30,1.1606719436386206,0.3913544668532575,123.66854299999976,-9.23394860656472e-08,9.055393130098909e-08,-3.745422382737056e-08,False,True
PID003,2,2025-11-11_003,2020_CH_56,9,Concrete,0.0,C1,1,1,1,-2.2518477633179645,0.7573109318980379,26.885245999999995,-1.289312831502086e-06,-8.856582680583042e-07,-1.2899536992964565e-07,False,True
PID003,2,2025-11-11_003,2017_CH_75,3,Concrete,0.0,C1,1,2,2,0.929652535764228,-1.4157789468713895,61.20237399999999,-6.506724764440646e-08,3.129229355174988e-07,7.145047490299178e-09,False,True
PID003,2,2025-11-11_003,2020_CH_78,14,Concrete,0.0,C1,1,3,3,-2.3361669895037065,0.0020441611073083,42.45862299999999,6.363908619860337e-07,1.623246370133505e-07,1.085739971811561e-07,False,True
PID003,2,2025-11-11_003,2017_CH_47,0,Concrete,0.0,C2,2,1,4,-0.4260686437746248,1.0979750828394783,53.64940100000001,1.0795754091357065e-07,1.01567417030958e-06,-1.556653258707068e-07,False,True
PID003,2,2025-11-11_003,2017_CH_69,2,Concrete,0.0,C2,2,2,5,-0.4260686437746248,-0.7521308608059422,95.59444399999995,-1.6397233927178228e-06,-1.7737925556596833e-06,-4.4707580180372486e-07,False,True
PID003,2,2025-11-11_003,2018_LC_44,5,Concrete,0.0,C2,2,3,6,1.389688140576973,-0.6674086028177602,118.63443599999994,-1.1812493547141742e-06,-1.493756659779704e-06,-4.883470938664908e-07,False,True
PID003,2,2025-11-11_003,2021_LC_26,25,Concrete,0.0,C3,3,1,7,2.264859834801295,-0.5607517593851553,168.63456399999995,-5.029237081206627e-07,-7.921803610707759e-08,-4.804991217150872e-07,False,True
PID003,2,2025-11-11_003,2020_CH_82,15,Concrete,0.0,C3,3,2,8,0.8398158527831238,0.4360691378486896,65.46537700000022,1.270292688490819e-06,2.371784526136317e-06,-1.645616217952372e-07,False,True
PID003,2,2025-11-11_003,2020_CH_84,16,Concrete,0.0,C3,3,3,9,-0.5863181049301306,-1.2526273197494673,79.13341100000002,-3.324519454654244e-07,-2.4653441866576537e-06,-6.08717163191074e-08,False,True
