omitted_participant_id,robust_variant,robust_se_label,n_trials,n_participants,n_questions,condition_beta,condition_se,condition_stat,condition_p_value,condition_ci_low,condition_ci_high,warning_count,warnings
PID026,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.0506696742559876e-08,2.4306948924785838e-08,1.2550607168739365,0.21947678346233906,-1.9206595708217755e-08,8.02199891933375e-08,0,
PID027,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.7126001117245253e-08,2.368702889872186e-08,1.1451837726557996,0.26149633895917485,-2.1319412520474654e-08,7.557141475496515e-08,0,
PID028,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.801728247355584e-08,2.4808415729455946e-08,1.1293458953241375,0.26800739381441896,-2.2721624750678664e-08,7.875618969779034e-08,0,
PID029,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.410292570514627e-08,2.4646364987668707e-08,1.3836898756554548,0.17701227859227814,-1.630455053845538e-08,8.451040194874793e-08,0,
PID030,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.0336921120834226e-08,2.5079434658828554e-08,1.209633372264032,0.2361884563263772,-2.0956282051332205e-08,8.163012429300066e-08,0,
PID031,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.6017733450536404e-08,2.3226153581440554e-08,1.1201912257794822,0.2718240004907385,-2.1485084326952455e-08,7.352055122802527e-08,0,
PID032,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.7518148485664905e-08,2.4557816635810146e-08,1.120545400829242,0.2716756192568628,-2.2708226043953618e-08,7.774452301528343e-08,0,
PID033,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.253758903445022e-08,2.4059435303709024e-08,1.3523837373454146,0.18670490250231755,-1.6669481221669508e-08,8.174465929056994e-08,0,
PID034,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.1964983287580983e-08,2.049526179530797e-08,1.0717103058722324,0.29268840799120033,-1.9952533659452796e-08,6.388250023461476e-08,0,
PID035,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.815533517145384e-08,2.452310467690925e-08,1.1481146266918099,0.2603041652241206,-2.2000045430884078e-08,7.831071577379176e-08,0,
PID036,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.6331734629737188e-08,2.3561727673087173e-08,1.1175638304237763,0.2729265682655141,-2.1857409227119096e-08,7.452087848659347e-08,0,
PID038,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.6734392318952462e-08,2.278385569233911e-08,1.1733919262814543,0.25018624786345095,-1.9863824705093405e-08,7.333260934299833e-08,0,
