participant_id,session_id,event_order,event_time_fnirs,event_duration_fnirs,event_label_raw,event_code_raw,source,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,110,2940.085845,10.0,91,91,snirf,False,
PID001,2025-11-06_008,111,2943.117711,10.0,99,99,snirf,False,
PID001,2025-11-06_008,112,2943.143607,10.0,11,11,snirf,False,
PID001,2025-11-06_008,113,2972.099774,10.0,14,14,snirf,False,
PID001,2025-11-06_008,114,2996.154412,10.0,15,15,snirf,False,
PID001,2025-11-06_008,115,3020.432662,10.0,25,25,snirf,False,
PID001,2025-11-06_008,116,3025.90502,10.0,99,99,snirf,False,
PID001,2025-11-06_008,117,3025.922155,10.0,11,11,snirf,False,
PID001,2025-11-06_008,118,3028.886963,10.0,14,14,snirf,False,
PID001,2025-11-06_008,119,3029.396148,10.0,15,15,snirf,False,
PID001,2025-11-06_008,120,3145.510973,10.0,21,21,snirf,False,
PID001,2025-11-06_008,121,3150.18518,10.0,99,99,snirf,False,
PID001,2025-11-06_008,122,3150.196522,10.0,11,11,snirf,False,
PID001,2025-11-06_008,123,3151.902784,10.0,14,14,snirf,False,
PID001,2025-11-06_008,124,3152.366102,10.0,15,15,snirf,False,
PID001,2025-11-06_008,125,3220.717678,10.0,23,23,snirf,False,
PID001,2025-11-06_008,126,3221.224096,10.0,93,93,snirf,False,
PID001,2025-11-06_008,127,3360.100506,10.0,92,92,snirf,False,
PID001,2025-11-06_008,128,3361.50212,10.0,91,91,snirf,False,
PID001,2025-11-06_008,129,3365.134659,10.0,99,99,snirf,False,
PID001,2025-11-06_008,130,3365.147662,10.0,11,11,snirf,False,
PID001,2025-11-06_008,131,3366.918325,10.0,14,14,snirf,False,
PID001,2025-11-06_008,132,3367.41314,10.0,15,15,snirf,False,
PID001,2025-11-06_008,133,3442.882146,10.0,24,24,snirf,False,
PID001,2025-11-06_008,134,3447.854471,10.0,99,99,snirf,False,
PID001,2025-11-06_008,135,3447.874161,10.0,11,11,snirf,False,
PID001,2025-11-06_008,136,3449.94027,10.0,14,14,snirf,False,
PID001,2025-11-06_008,137,3450.433552,10.0,15,15,snirf,False,
PID001,2025-11-06_008,138,3531.333775,10.0,23,23,snirf,False,
PID001,2025-11-06_008,139,3536.70743,10.0,99,99,snirf,False,
PID001,2025-11-06_008,140,3536.743587,10.0,11,11,snirf,False,
PID001,2025-11-06_008,141,3538.827197,10.0,14,14,snirf,False,
PID001,2025-11-06_008,142,3545.212382,10.0,15,15,snirf,False,
PID001,2025-11-06_008,143,3693.991195,10.0,25,25,snirf,False,
PID001,2025-11-06_008,144,3694.498272,10.0,93,93,snirf,False,
PID001,2025-11-06_008,145,3781.5169,10.0,92,92,snirf,False,
PID001,2025-11-06_008,146,3784.418325,10.0,91,91,snirf,False,
PID001,2025-11-06_008,147,3789.284214,10.0,99,99,snirf,False,
PID001,2025-11-06_008,148,3789.297537,10.0,11,11,snirf,False,
PID001,2025-11-06_008,149,3790.73547,10.0,14,14,snirf,False,
PID001,2025-11-06_008,150,3791.197071,10.0,15,15,snirf,False,
PID001,2025-11-06_008,151,3883.712868,10.0,23,23,snirf,False,
PID001,2025-11-06_008,152,3888.601931,10.0,99,99,snirf,False,
PID001,2025-11-06_008,153,3888.611489,10.0,11,11,snirf,False,
PID001,2025-11-06_008,154,3890.886185,10.0,14,14,snirf,False,
PID001,2025-11-06_008,155,3891.346341,10.0,15,15,snirf,False,
PID001,2025-11-06_008,156,3955.967816,10.0,25,25,snirf,False,
