participant_id,session_id,session_folder_path,psychopy_file,snirf_file,snirf_backup_file,snirf_readable,duration_sec,annotation_count,comparison_result,expected_min_count,matched_min_count,missing_min_count,extra_raw_min_count,time_offset_sec,n_raw_channels,n_short_channels_raw,n_long_channels_raw,n_pairs,n_short_pairs,n_long_pairs,aux_group_count,accelerometer_configured,accelerometer_aux_present,accelerometer_exposed_in_mne_raw,montage_left_lateralized,backup_differs_from_current,preprocessing_success,preprocessed_file,n_bad_pairs,n_bad_hb_channels,qc_label,final_status,global_analysis_excluded,global_exclusion_reason
PID020,2025-11-20_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID20/2025-11-20_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID20/enem_blocks_PID20_20251120_163606.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID20/2025-11-20_004/2025-11-20_004.snirf,,True,4506.255360000001,246,MATCH_RAW,80,80,0,0,13.046194500000013,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID020_2025-11-20_004_preprocessed_raw.fif,1.0,2.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID021,2025-11-21_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID021/2025-11-21_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID021/enem_blocks_PID021_20251121_102759.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID021/2025-11-21_001/2025-11-21_001.snirf,,True,5167.8412800000015,239,MATCH_RAW,80,80,0,0,19.558430999999928,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID021_2025-11-21_001_preprocessed_raw.fif,1.0,2.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID022,2025-11-21_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID022/2025-11-21_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID022/enem_blocks_PID022_20251121_122104.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID022/2025-11-21_002/2025-11-21_002.snirf,,True,4554.817536000001,246,MATCH_RAW,80,80,0,0,21.109100500000068,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID022_2025-11-21_002_preprocessed_raw.fif,1.0,2.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID023,2025-11-21_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID023/2025-11-21_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID023/enem_blocks_PID023_20251121_144341.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID023/2025-11-21_003/2025-11-21_003.snirf,,True,4485.611520000001,245,MATCH_RAW,80,80,0,0,14.597516499999927,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID023_2025-11-21_003_preprocessed_raw.fif,2.0,4.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID024,2025-11-25_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID24/2025-11-25_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID24/enem_blocks_PID24_20251125_092800.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID24/2025-11-25_001/2025-11-25_001.snirf,,True,4560.322560000001,246,MATCH_RAW,80,80,0,0,26.735755000000154,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID024_2025-11-25_001_preprocessed_raw.fif,1.0,2.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID025,2025-11-25_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID25/2025-11-25_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID25/enem_blocks_PID25_20251125_120604.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID25/2025-11-25_002/2025-11-25_002.snirf,,True,4620.582912,244,MISMATCH_REVIEW_REQUIRED,80,80,0,1,20.57159500000006,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID025_2025-11-25_002_preprocessed_raw.fif,0.0,0.0,REVIEW_REQUIRED,REVIEW_BEFORE_STEP4,False,
PID026,2025-11-25_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID26/2025-11-25_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID26/enem_blocks_PID26_20251125_142157.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID26/2025-11-25_003/2025-11-25_003.snirf,,True,4373.250048000001,246,MATCH_RAW,80,80,0,0,20.518564999999967,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID026_2025-11-25_003_preprocessed_raw.fif,1.0,2.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID027,2025-11-25_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID27/2025-11-25_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID27/enem_blocks_PID27_20251125_162020.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID27/2025-11-25_004/2025-11-25_004.snirf,,True,4539.580416000001,246,MATCH_RAW,80,80,0,0,14.04798599999981,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID027_2025-11-25_004_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
PID028,2025-11-26_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID028/2025-11-26_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID028/enem_blocks_PID028_20251126_101725.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID028/2025-11-26_001/2025-11-26_001.snirf,,True,4864.278528000001,246,MATCH_RAW,80,80,0,0,11.60651300000012,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID028_2025-11-26_001_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
PID029,2025-11-26_001(PID029),/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID029/2025-11-26_001(PID029),/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID029/enem_blocks_PID029_20251126_122029.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID029/2025-11-26_001(PID029)/2025-11-26_001.snirf,,True,4566.7123200000015,246,MATCH_RAW,80,80,0,0,21.847645000000057,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID029_2025-11-26_001_PID029_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
