participant_id,session_id,pair_id,raw_channel_names,n_wavelength_channels,is_short_pair,pair_sci_min,pair_sci_mean,bad_pair,bad_reason,global_analysis_excluded,global_exclusion_reason
PID004,2025-11-11_004,S1_D8,S1_D8 760;S1_D8 850,2,True,0.9234443451606927,0.9234443451606927,False,,False,
PID004,2025-11-11_004,S2_D4,S2_D4 760;S2_D4 850,2,False,0.940145999973646,0.940145999973646,False,,False,
PID004,2025-11-11_004,S2_D6,S2_D6 760;S2_D6 850,2,False,0.9659868590235997,0.9659868590235997,False,,False,
PID004,2025-11-11_004,S2_D9,S2_D9 760;S2_D9 850,2,True,0.9091483794663436,0.9091483794663436,False,,False,
PID004,2025-11-11_004,S3_D1,S3_D1 760;S3_D1 850,2,False,0.5811126564598854,0.5811126564598854,True,LOW_SCI,False,
PID004,2025-11-11_004,S3_D10,S3_D10 760;S3_D10 850,2,True,0.09134497230155202,0.09134497230155202,False,,False,
PID004,2025-11-11_004,S3_D3,S3_D3 760;S3_D3 850,2,False,0.22619631904407697,0.22619631904407697,True,LOW_SCI,False,
PID004,2025-11-11_004,S3_D7,S3_D7 760;S3_D7 850,2,False,0.9025164036113379,0.9025164036113379,False,,False,
PID004,2025-11-11_004,S4_D11,S4_D11 760;S4_D11 850,2,True,0.23410159695320387,0.23410159695320387,False,,False,
PID004,2025-11-11_004,S4_D2,S4_D2 760;S4_D2 850,2,False,0.5264666671787738,0.5264666671787738,True,LOW_SCI,False,
PID004,2025-11-11_004,S4_D4,S4_D4 760;S4_D4 850,2,False,0.821349726463498,0.821349726463498,False,,False,
PID004,2025-11-11_004,S4_D7,S4_D7 760;S4_D7 850,2,False,0.9840464832454011,0.9840464832454011,False,,False,
PID004,2025-11-11_004,S5_D12,S5_D12 760;S5_D12 850,2,True,0.914746622371564,0.914746622371564,False,,False,
PID004,2025-11-11_004,S5_D3,S5_D3 760;S5_D3 850,2,False,0.4027673661368048,0.4027673661368048,True,LOW_SCI,False,
PID004,2025-11-11_004,S5_D4,S5_D4 760;S5_D4 850,2,False,0.9566579680450611,0.9566579680450611,False,,False,
PID004,2025-11-11_004,S5_D6,S5_D6 760;S5_D6 850,2,False,0.9788065260646048,0.9788065260646048,False,,False,
PID004,2025-11-11_004,S5_D7,S5_D7 760;S5_D7 850,2,False,0.8813469738601669,0.8813469738601669,False,,False,
PID004,2025-11-11_004,S6_D1,S6_D1 760;S6_D1 850,2,False,0.5836514423904332,0.5836514423904332,True,LOW_SCI,False,
PID004,2025-11-11_004,S6_D13,S6_D13 760;S6_D13 850,2,True,0.44984961697651066,0.44984961697651066,False,,False,
PID004,2025-11-11_004,S6_D2,S6_D2 760;S6_D2 850,2,False,0.9194898293629227,0.9194898293629227,False,,False,
PID004,2025-11-11_004,S6_D5,S6_D5 760;S6_D5 850,2,False,0.8604592904867008,0.8604592904867008,False,,False,
PID004,2025-11-11_004,S6_D7,S6_D7 760;S6_D7 850,2,False,0.9842201817824624,0.9842201817824624,False,,False,
PID004,2025-11-11_004,S7_D14,S7_D14 760;S7_D14 850,2,True,0.04998118385536007,0.04998118385536007,False,,False,
PID004,2025-11-11_004,S7_D2,S7_D2 760;S7_D2 850,2,False,0.9456445519432369,0.9456445519432369,False,,False,
PID004,2025-11-11_004,S7_D5,S7_D5 760;S7_D5 850,2,False,0.9388223597733835,0.9388223597733835,False,,False,
PID004,2025-11-11_004,S8_D1,S8_D1 760;S8_D1 850,2,False,0.3566118424384359,0.3566118424384359,True,LOW_SCI,False,
PID004,2025-11-11_004,S8_D15,S8_D15 760;S8_D15 850,2,True,0.7289373653722081,0.7289373653722081,False,,False,
PID004,2025-11-11_004,S8_D5,S8_D5 760;S8_D5 850,2,False,0.9810204569536802,0.9810204569536802,False,,False,
PID005,2025-11-12_001,S1_D3,S1_D3 760;S1_D3 850,2,False,0.9472830371623774,0.9472830371623774,False,,False,
PID005,2025-11-12_001,S1_D6,S1_D6 760;S1_D6 850,2,False,0.961558056845868,0.961558056845868,False,,False,
PID005,2025-11-12_001,S1_D8,S1_D8 760;S1_D8 850,2,True,0.9656537102497406,0.9656537102497406,False,,False,
PID005,2025-11-12_001,S2_D4,S2_D4 760;S2_D4 850,2,False,0.9886946355093461,0.9886946355093461,False,,False,
PID005,2025-11-12_001,S2_D6,S2_D6 760;S2_D6 850,2,False,0.9879846685450556,0.9879846685450556,False,,False,
PID005,2025-11-12_001,S2_D9,S2_D9 760;S2_D9 850,2,True,0.974889564486094,0.974889564486094,False,,False,
PID005,2025-11-12_001,S3_D1,S3_D1 760;S3_D1 850,2,False,0.9775454856123704,0.9775454856123704,False,,False,
PID005,2025-11-12_001,S3_D10,S3_D10 760;S3_D10 850,2,True,0.9844625220503169,0.9844625220503169,False,,False,
PID005,2025-11-12_001,S3_D3,S3_D3 760;S3_D3 850,2,False,0.9808903562759257,0.9808903562759257,False,,False,
PID005,2025-11-12_001,S3_D7,S3_D7 760;S3_D7 850,2,False,0.9832628634689872,0.9832628634689872,False,,False,
PID005,2025-11-12_001,S4_D11,S4_D11 760;S4_D11 850,2,True,0.9965505606611965,0.9965505606611965,False,,False,
PID005,2025-11-12_001,S4_D2,S4_D2 760;S4_D2 850,2,False,0.9477898356197091,0.9477898356197091,False,,False,
PID005,2025-11-12_001,S4_D4,S4_D4 760;S4_D4 850,2,False,0.979231936228656,0.979231936228656,False,,False,
PID005,2025-11-12_001,S4_D7,S4_D7 760;S4_D7 850,2,False,0.9882148713741911,0.9882148713741911,False,,False,
PID005,2025-11-12_001,S5_D12,S5_D12 760;S5_D12 850,2,True,0.9580764702363168,0.9580764702363168,False,,False,
PID005,2025-11-12_001,S5_D3,S5_D3 760;S5_D3 850,2,False,0.9873273153092659,0.9873273153092659,False,,False,
PID005,2025-11-12_001,S5_D4,S5_D4 760;S5_D4 850,2,False,0.9652759688785024,0.9652759688785024,False,,False,
PID005,2025-11-12_001,S5_D6,S5_D6 760;S5_D6 850,2,False,0.9737117460716007,0.9737117460716007,False,,False,
PID005,2025-11-12_001,S5_D7,S5_D7 760;S5_D7 850,2,False,0.9926286324006331,0.9926286324006331,False,,False,
PID005,2025-11-12_001,S6_D1,S6_D1 760;S6_D1 850,2,False,0.9591528911778286,0.9591528911778286,False,,False,
PID005,2025-11-12_001,S6_D13,S6_D13 760;S6_D13 850,2,True,0.829093016869834,0.829093016869834,False,,False,
