participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_id_matches_trigger,question_start_time,answer_time,answer_latency_sec,epoch_start_time,epoch_end_time,baseline_start_time,baseline_end_time,full_epoch_available,baseline_available,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,included_step5_trial,exclusion_reason_code,exclusion_reason_detail,source_log
PID002,2025-11-06_PID002,C4,3,12,2020_CH_82,Concrete,True,1703.306075,1765.020963,61.71488799999997,1699.806075,1716.506075,1701.306075,1703.306075,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C5,1,13,2017_CH_68,Concrete,True,1947.892999,2062.75919,114.8661910000003,1944.392999,1961.092999,1945.892999,1947.892999,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C5,2,14,2020_CH_56,Concrete,True,2066.573247,2097.503395,30.930148000000372,2063.073247,2079.7732469999996,2064.573247,2066.573247,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,C5,3,15,2017_CH_69,Concrete,True,2102.576057,2196.486411,93.91035399999964,2099.076057,2115.776057,2100.576057,2102.576057,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A1,1,16,2019_CH_56,Abstract,True,2371.152154,2472.194161,101.04200700000001,2367.652154,2384.3521539999997,2369.152154,2371.152154,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A1,2,17,2021_CH_65,Abstract,True,2477.050044,2529.951474,52.90142999999989,2473.550044,2490.250044,2475.050044,2477.050044,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A1,3,18,2020_CH_77,Abstract,True,2533.726853,2627.419573,93.69272000000001,2530.226853,2546.926853,2531.726853,2533.726853,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A2,1,19,2021_CH_57,Abstract,True,2795.732738,2878.113075,82.38033700000005,2792.232738,2808.932738,2793.732738,2795.732738,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A2,2,20,2020_CH_76,Abstract,True,2882.282862,3028.823153,146.5402909999998,2878.782862,2895.482862,2880.282862,2882.282862,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A2,3,21,2021_CH_86,Abstract,True,3033.925412,3127.092155,93.16674299999977,3030.425412,3047.125412,3031.925412,3033.925412,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A3,1,22,2020_LC_31,Abstract,True,3221.367833,3320.778287,99.4104540000003,3217.867833,3234.5678329999996,3219.367833,3221.367833,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A3,2,23,2022_CH_51,Abstract,True,3326.099022,3404.131664,78.03264200000012,3322.599022,3339.2990219999997,3324.099022,3326.099022,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A3,3,24,2022_CH_47,Abstract,True,3408.335661,3526.194994,117.85933299999988,3404.835661,3421.535661,3406.335661,3408.335661,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A4,1,25,2019_CH_64,Abstract,True,3642.805865,3740.379598,97.57373300000017,3639.305865,3656.0058649999996,3640.805865,3642.805865,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A4,2,26,2022_CH_71,Abstract,True,3744.361973,3825.048058,80.68608499999982,3740.861973,3757.561973,3742.361973,3744.361973,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A4,3,27,2021_CH_51,Abstract,True,3829.108376,3905.16913,76.06075400000009,3825.608376,3842.308376,3827.108376,3829.108376,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A5,1,28,2022_CH_60,Abstract,True,4066.078606,4144.182711,78.10410500000035,4062.578606,4079.278606,4064.078606,4066.078606,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A5,2,29,2019_CH_65,Abstract,True,4147.922892,4204.589195,56.66630299999997,4144.422892,4161.122891999999,4145.922892,4147.922892,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID002,2025-11-06_PID002,A5,3,30,2021_CH_83,Abstract,True,4209.350319,4333.018862,123.66854299999977,4205.850319,4222.550319,4207.350319,4209.350319,True,True,7,9,7,9,True,,,enem_blocks_PID002_20251106_162601.csv
PID003,2025-11-11_003,C1,1,1,2020_CH_56,Concrete,True,177.666626,204.551872,26.885245999999995,174.166626,190.866626,175.666626,177.666626,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C1,2,2,2017_CH_75,Concrete,True,209.10806,270.310434,61.20237399999999,205.60806,222.30805999999998,207.10806,209.10806,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C1,3,3,2020_CH_78,Concrete,True,274.310587,316.76921,42.45862299999999,270.810587,287.510587,272.310587,274.310587,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C2,1,4,2017_CH_47,Concrete,True,598.516963,652.166364,53.64940100000001,595.016963,611.7169630000001,596.516963,598.516963,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C2,2,5,2017_CH_69,Concrete,True,656.107256,751.7017,95.59444399999995,652.607256,669.307256,654.107256,656.107256,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C2,3,6,2018_LC_44,Concrete,True,755.563846,874.198282,118.63443599999994,752.063846,768.7638460000001,753.563846,755.563846,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C3,1,7,2021_LC_26,Concrete,True,1021.180053,1189.814617,168.63456399999995,1017.680053,1034.380053,1019.180053,1021.180053,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C3,2,8,2020_CH_82,Concrete,True,1194.955691,1260.421068,65.46537700000022,1191.455691,1208.155691,1192.955691,1194.955691,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C3,3,9,2020_CH_84,Concrete,True,1264.67381,1343.807221,79.13341100000002,1261.17381,1277.87381,1262.67381,1264.67381,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C4,1,10,2021_CH_76,Concrete,True,1442.905143,1540.377311,97.47216800000001,1439.405143,1456.105143,1440.905143,1442.905143,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C4,2,11,2020_CH_70,Concrete,True,1544.147289,1638.577637,94.4303480000001,1540.647289,1557.347289,1542.147289,1544.147289,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C4,3,12,2017_CH_68,Concrete,True,1642.263312,1721.931584,79.66827199999989,1638.763312,1655.463312,1640.263312,1642.263312,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C5,1,13,2020_CH_59,Concrete,True,1864.585644,1935.363915,70.7782709999999,1861.085644,1877.785644,1862.585644,1864.585644,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C5,2,14,2018_CH_77,Concrete,True,1940.135017,2015.28515,75.15013299999987,1936.635017,1953.335017,1938.135017,1940.135017,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,C5,3,15,2021_CH_46,Concrete,True,2019.04203,2100.221917,81.17988699999978,2015.54203,2032.24203,2017.04203,2019.04203,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
