participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,question_window_duration_sec,baseline_start_time,baseline_end_time,source_log,session_primary_candidate,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used,included_primary_analysis
PID001,2025-11-06_008,C3,1,22,2020_CH_56,Concrete,3365.147662,3442.882146,77.73448400000007,3363.147662,3365.147662,enem_blocks_PID01_20251106_124958.csv,True,-2.2088968959526503e-07,-3.426657184820539e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C3,2,23,2021_CH_76,Concrete,3447.874161,3531.333775,83.45961399999987,3445.874161,3447.874161,enem_blocks_PID01_20251106_124958.csv,True,-1.7678565367359204e-07,-7.702679051295427e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C3,3,24,2021_LC_26,Concrete,3536.743587,3693.991195,157.24760800000013,3534.743587,3536.743587,enem_blocks_PID01_20251106_124958.csv,True,1.889911785299595e-07,1.741603992657426e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C4,1,25,2020_CH_59,Concrete,3789.297537,3883.712868,94.41533100000015,3787.297537,3789.297537,enem_blocks_PID01_20251106_124958.csv,True,5.0229402563751144e-08,-2.1335519141386173e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C4,2,26,2020_CH_84,Concrete,3888.611489,3955.967816,67.35632699999996,3886.611489,3888.611489,enem_blocks_PID01_20251106_124958.csv,True,1.6241179681169268e-07,-7.547561200709883e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C4,3,27,2020_CH_78,Concrete,3959.569235,4021.490241,61.921006000000034,3957.569235,3959.569235,enem_blocks_PID01_20251106_124958.csv,True,7.66458235272249e-09,-1.5833944654407243e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C5,1,28,2017_CH_69,Concrete,4211.497204,4288.081098,76.58389399999942,4209.497204,4211.497204,enem_blocks_PID01_20251106_124958.csv,True,1.9051837172366216e-07,5.803076273150711e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C5,2,29,2018_CH_77,Concrete,4292.85089,4341.006578,48.15568800000074,4290.85089,4292.85089,enem_blocks_PID01_20251106_124958.csv,True,-1.200693871374552e-07,3.7903256939910994e-09,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,C5,3,30,2021_CH_46,Concrete,4345.677142,4410.178077,64.50093500000003,4343.677142,4345.677142,enem_blocks_PID01_20251106_124958.csv,True,5.879747142888932e-08,1.2888032587433315e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID002,2025-11-06_PID002,C1,1,1,2018_CH_77,Concrete,259.353229,317.26681,57.91358100000002,257.353229,259.353229,enem_blocks_PID002_20251106_162601.csv,True,1.2214108327600277e-07,-8.550256239417711e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
