participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,question_window_duration_sec,baseline_start_time,baseline_end_time,source_log,session_primary_candidate,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used,included_primary_analysis
PID001,2025-11-06_008,C5,3,30,2021_CH_46,Concrete,4345.677142,4410.178077,64.50093500000003,4343.677142,4345.677142,enem_blocks_PID01_20251106_124958.csv,True,-1.4304379360074238e-07,8.966208856117782e-09,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C1,1,1,2018_CH_77,Concrete,259.353229,317.26681,57.91358100000002,257.353229,259.353229,enem_blocks_PID002_20251106_162601.csv,True,-2.3147827673808135e-09,3.5981063415670566e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C1,2,2,2021_CH_76,Concrete,321.715927,466.973954,145.25802699999997,319.715927,321.715927,enem_blocks_PID002_20251106_162601.csv,True,1.2880771114942954e-07,-4.5342215311534346e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C1,3,3,2020_CH_78,Concrete,471.626908,545.412505,73.785597,469.626908,471.626908,enem_blocks_PID002_20251106_162601.csv,True,-7.565840994732832e-09,-3.925511045110589e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C2,1,4,2018_LC_44,Concrete,682.97,764.895075,81.92507499999999,680.97,682.97,enem_blocks_PID002_20251106_162601.csv,True,1.9425989481439357e-08,1.1011271117613847e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C2,2,5,2020_CH_70,Concrete,770.335078,865.245725,94.91064700000004,768.335078,770.335078,enem_blocks_PID002_20251106_162601.csv,True,1.219226496308517e-07,2.7684473594958798e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C2,3,6,2021_CH_46,Concrete,869.280842,973.662512,104.38166999999999,867.280842,869.280842,enem_blocks_PID002_20251106_162601.csv,True,-4.3976826827590274e-08,1.7236053106678505e-09,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C3,1,7,2021_LC_26,Concrete,1103.796347,1291.178104,187.3817570000001,1101.796347,1103.796347,enem_blocks_PID002_20251106_162601.csv,True,-9.122481529506527e-10,2.934515046435446e-09,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C3,2,8,2017_CH_47,Concrete,1295.990586,1342.420205,46.429619,1293.990586,1295.990586,enem_blocks_PID002_20251106_162601.csv,True,4.2680609441008334e-08,-6.848317220478856e-09,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C3,3,9,2020_CH_59,Concrete,1346.263662,1411.376858,65.11319600000002,1344.263662,1346.263662,enem_blocks_PID002_20251106_162601.csv,True,-2.1493298556386095e-07,-4.310236307133776e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID002,2025-11-06_PID002,C4,1,10,2017_CH_75,Concrete,1526.077433,1615.711807,89.63437399999998,1524.077433,1526.077433,enem_blocks_PID002_20251106_162601.csv,True,-5.7924679394875535e-08,-1.3097901396327713e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
