participant_id,folder_name,timestamp_raw,timestamp_iso,question_id,raw_value,raw_key_present,source_json,source_json_full_path
PID004,PID004,20251111_154532,2025-11-11 15:45:32,affiliation,PhD candidate,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,age,38,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,country_of_birth,Brazil,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,country_secondary_ed,Brazil,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,degree_field,Communication and Cognition,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,department_unit,Psychology,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,employee_role,,False,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,first_gen_he,Yes,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,first_language,Portuguese,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,gender,female,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,highest_degree,Master,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,living_arrangement,Student accomodation,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,nationality,Brazilian,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,other_languages,English,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,parent_a_edu,high school,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,parent_b_edu,high school,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,primary_school_langs,Portuguese,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,programme_name,,False,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,study_level,,False,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,year_in_programme,,False,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID004,PID004,20251111_154532,2025-11-11 15:45:32,years_in_luxembourg,1,True,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,affiliation,phd candidate,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,age,28,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,country_of_birth,italy,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,country_secondary_ed,Italy,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,degree_field,Economics,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,department_unit,Liser,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
