participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,phase,block,trial_idx_in_block,question_number,question_year,question_field,question_type_log,t_abs,rt_from_phase,choice,correct_raw,button_click_time,option_view_time,marker_name,marker_code,note
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,block_start,A3,-1,,,,,1240.613164,,,,,,BLK_ON,91,A3 start (target 420s)
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A3,1,51,2021,CH,abstract,1245.0289,4.415598500010674,,,,,ITI,99,ITI duration: 4.40s
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_text_on,A3,1,51,2021,CH,abstract,1245.060439,0.0003189999988535419,,,,,Q_TEXT_ON,11,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_stem_on,A3,1,51,2021,CH,abstract,1278.478869,8.3099992480129e-05,,,,,Q_STEM_ON,14,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_options_on,A3,1,51,2021,CH,abstract,1284.733687,7.219999679364264e-05,,,,,Q_OPTIONS_ON,15,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,answer,A3,1,51,2021,CH,abstract,1295.845342,11.111727499999688,B,,,11.111712,ANS_B,22,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A3,2,57,2021,CH,abstract,1300.754147,4.4008268999896245,,,,,ITI,99,ITI duration: 4.38s
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_text_on,A3,2,57,2021,CH,abstract,1300.780938,8.359999628737569e-05,,,,,Q_TEXT_ON,11,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_stem_on,A3,2,57,2021,CH,abstract,1302.705005,6.159998883958906e-05,,,,,Q_STEM_ON,14,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_options_on,A3,2,57,2021,CH,abstract,1347.468655,6.439999560825527e-05,,,,,Q_OPTIONS_ON,15,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,answer,A3,2,57,2021,CH,abstract,1381.716918,34.24832769999921,B,,,34.248311,ANS_B,22,
