participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,block,block_type_from_block,block_index_within_type,global_block_order,order_condition,trial_idx_in_block,question_id,question_year,question_field,question_number,question_type_log,t_iti,t_text_on,t_stem_on,t_options_on,t_answer,rt_from_phase_answer,option_view_time,chosen_answer_raw,answer_marker_name,n_answer_rows,n_button_click_rows,button_click_times_json,trial_notes,trial_idx_global
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C3,Concrete,3,8,AbstractFirst,3,2021_LC_26,2021,LC,26,concrete,3525.766839,3525.802996,3527.886606,3534.271791,3683.050604,148.77885319999768,148.778838,E,ANS_E,1,0,[],ITI duration: 4.86s,24
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C4,Concrete,4,9,AbstractFirst,1,2020_CH_59,2020,CH,59,concrete,3778.343623,3778.356946,3779.794879,3780.25648,3872.772277,92.51583399999072,92.515818,C,ANS_C,1,0,[],ITI duration: 4.85s,25
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C4,Concrete,4,9,AbstractFirst,2,2020_CH_84,2020,CH,84,concrete,3877.66134,3877.670898,3879.945594,3880.40575,3945.027225,64.62151720000838,64.621505,E,ANS_E,1,0,[],ITI duration: 4.37s,26
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C4,Concrete,4,9,AbstractFirst,3,2020_CH_78,2020,CH,78,concrete,3948.617476,3948.628644,3950.002095,3950.479371,4010.54965,60.07031900000584,60.07031,B,ANS_B,1,0,[],ITI duration: 3.07s,27
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C5,Concrete,5,10,AbstractFirst,1,2017_CH_69,2017,CH,69,concrete,4200.542567,4200.556613,4202.495299,4203.028254,4277.140507,74.11228929999925,74.112276,D,ANS_D,1,0,[],ITI duration: 3.88s,28
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C5,Concrete,5,10,AbstractFirst,2,2018_CH_77,2018,CH,77,concrete,4281.89698,4281.910299,4283.265635,4283.662905,4330.065987,46.403123800002504,46.403115,A,ANS_A,1,0,[],ITI duration: 4.24s,29
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,C5,Concrete,5,10,AbstractFirst,3,2021_CH_46,2021,CH,46,concrete,4334.721934,4334.736551,4336.140874,4336.618881,4399.237486,62.61864789998799,62.618635,A,ANS_A,1,0,[],ITI duration: 4.13s,30
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C1,Concrete,1,1,ConcreteFirst,1,2018_CH_77,2018,CH,77,concrete,236.614603,236.635434,254.181098,258.938196,294.549015,35.61085000000003,35.610828,C,ANS_C,1,0,[],ITI duration: 3.11s,1
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C1,Concrete,1,1,ConcreteFirst,2,2021_CH_76,2021,CH,76,concrete,298.970101,298.998132,344.7875,356.473632,444.256159,87.78255910000007,87.782551,A,ANS_A,1,0,[],ITI duration: 3.89s,2
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C1,Concrete,1,1,ConcreteFirst,3,2020_CH_78,2020,CH,78,concrete,448.898825,448.909113,458.852572,464.595008,522.69471,58.099734100000205,58.099707,C,ANS_C,1,0,[],ITI duration: 4.13s,3
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C2,Concrete,2,2,ConcreteFirst,1,2018_LC_44,2018,LC,44,concrete,660.19761,660.252205,697.363805,700.269129,742.17728,41.90818180000042,41.908169,D,ANS_D,1,0,[],ITI duration: 4.59s,4
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C2,Concrete,2,2,ConcreteFirst,2,2020_CH_70,2020,CH,70,concrete,747.601931,747.617283,779.835341,784.719389,842.52793,57.808573199999955,57.808552,E,ANS_E,1,0,[],ITI duration: 4.91s,5
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C2,Concrete,2,2,ConcreteFirst,3,2021_CH_46,2021,CH,46,concrete,846.550999,846.563047,861.037795,865.109555,950.944717,85.83519879999949,85.835176,B,ANS_B,1,0,[],ITI duration: 3.50s,6
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C3,Concrete,3,3,ConcreteFirst,1,2021_LC_26,2021,LC,26,concrete,1081.048519,1081.078552,1143.77409,1150.911748,1268.460309,117.54859199999919,117.548572,E,ANS_E,1,0,[],ITI duration: 4.36s,7
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C3,Concrete,3,3,ConcreteFirst,2,2017_CH_47,2017,CH,47,concrete,1273.200361,1273.272791,1289.199441,1293.917086,1319.70241,25.78537469999901,25.785367,D,ANS_D,1,0,[],ITI duration: 4.22s,8
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C3,Concrete,3,3,ConcreteFirst,3,2020_CH_59,2020,CH,59,concrete,1323.52706,1323.545867,1347.758431,1351.847249,1388.659063,36.81184799999937,36.811835,C,ANS_C,1,0,[],ITI duration: 3.31s,9
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C4,Concrete,4,4,ConcreteFirst,1,2017_CH_75,2017,CH,75,concrete,1503.283396,1503.359638,1534.628126,1536.441715,1592.994012,56.55233419999968,56.552314,E,ANS_E,1,0,[],ITI duration: 4.51s,10
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C4,Concrete,4,4,ConcreteFirst,2,2020_CH_84,2020,CH,84,concrete,1596.785919,1596.795871,1619.735053,1625.153197,1676.41375,51.260588400000415,51.260567,E,ANS_E,1,0,[],ITI duration: 3.28s,11
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C4,Concrete,4,4,ConcreteFirst,3,2020_CH_82,2020,CH,82,concrete,1680.570263,1680.58828,1723.220491,1727.508301,1742.303168,14.794899499998792,14.794876,A,ANS_A,1,0,[],ITI duration: 3.64s,12
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C5,Concrete,5,5,ConcreteFirst,1,2017_CH_68,2017,CH,68,concrete,1925.165709,1925.175204,1941.813009,1946.024476,2040.041395,94.0169492999994,94.016931,E,ANS_E,1,0,[],ITI duration: 4.67s,13
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C5,Concrete,5,5,ConcreteFirst,2,2020_CH_56,2020,CH,56,concrete,2043.84757,2043.855452,2051.334795,2055.455945,2074.7856,19.32968720000099,19.329663,D,ANS_D,1,0,[],ITI duration: 3.28s,14
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,C5,Concrete,5,5,ConcreteFirst,3,2017_CH_69,2017,CH,69,concrete,2079.842483,2079.858262,2101.758402,2116.83081,2173.768616,56.937836700000844,56.937818,D,ANS_D,1,0,[],ITI duration: 4.55s,15
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A1,Abstract,1,6,ConcreteFirst,1,2019_CH_56,2019,CH,56,abstract,2348.41641,2348.434359,2372.618459,2378.188092,2449.476366,71.28830639999978,71.288295,B,ANS_B,1,0,[],ITI duration: 3.10s,16
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A1,Abstract,1,6,ConcreteFirst,2,2021_CH_65,2021,CH,65,abstract,2454.316361,2454.332249,2479.881627,2483.107927,2507.233679,24.125790100000813,24.125767,A,ANS_A,1,0,[],ITI duration: 4.32s,17
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A1,Abstract,1,6,ConcreteFirst,3,2020_CH_77,2020,CH,77,abstract,2510.991545,2511.009058,2546.857205,2552.849294,2604.701778,51.8525152000002,51.852497,A,ANS_A,1,0,[],ITI duration: 3.23s,18
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A2,Abstract,2,7,ConcreteFirst,1,2021_CH_57,2021,CH,57,abstract,2772.999492,2773.014943,2790.815992,2794.626543,2855.39528,60.76876900000025,60.768756,B,ANS_B,1,0,[],ITI duration: 4.73s,19
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A2,Abstract,2,7,ConcreteFirst,2,2020_CH_76,2020,CH,76,abstract,2859.551766,2859.565067,2888.43161,2896.738695,3006.105358,109.36669970000003,109.366689,B,ANS_B,1,0,[],ITI duration: 3.64s,20
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A2,Abstract,2,7,ConcreteFirst,3,2021_CH_86,2021,CH,86,abstract,3011.197962,3011.207617,3043.596664,3049.965041,3104.37436,54.40935849999914,54.409342,A,ANS_A,1,0,[],ITI duration: 4.57s,21
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A3,Abstract,3,8,ConcreteFirst,1,2020_LC_31,2020,LC,31,abstract,3198.633214,3198.650038,3242.226967,3250.370905,3298.060492,47.689632900001016,47.689605,E,ANS_E,1,0,[],ITI duration: 4.63s,22
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A3,Abstract,3,8,ConcreteFirst,2,2022_CH_51,2022,CH,51,abstract,3303.365652,3303.381227,3329.5495,3336.741079,3381.413869,44.67283429999952,44.672826,E,ANS_E,1,0,[],ITI duration: 4.78s,23
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A3,Abstract,3,8,ConcreteFirst,3,2022_CH_47,2022,CH,47,abstract,3385.603495,3385.617866,3425.63587,3429.491251,3503.477199,73.98599800000011,73.985988,E,ANS_E,1,0,[],ITI duration: 3.67s,24
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A4,Abstract,4,9,ConcreteFirst,1,2019_CH_64,2019,CH,64,abstract,3620.067086,3620.08807,3650.250729,3656.500521,3717.661803,61.16131469999891,61.161294,A,ANS_A,1,0,[],ITI duration: 3.80s,25
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A4,Abstract,4,9,ConcreteFirst,2,2022_CH_71,2022,CH,71,abstract,3721.633891,3721.644178,3738.733301,3745.690757,3802.330263,56.639538400000674,56.639516,A,ANS_A,1,0,[],ITI duration: 3.46s,26
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A4,Abstract,4,9,ConcreteFirst,3,2021_CH_51,2021,CH,51,abstract,3806.353647,3806.390581,3827.975339,3831.959973,3882.451335,50.491396699999314,50.491377,A,ANS_A,1,0,[],ITI duration: 3.50s,27
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A5,Abstract,5,10,ConcreteFirst,1,2022_CH_60,2022,CH,60,abstract,4043.268005,4043.360811,4067.881031,4073.075084,4121.464916,48.389865799999825,48.389837,B,ANS_B,1,0,[],ITI duration: 4.00s,28
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A5,Abstract,5,10,ConcreteFirst,2,2019_CH_65,2019,CH,65,abstract,4125.18855,4125.205097,4151.252877,4158.309485,4181.8714,23.561945400000695,23.561922,A,ANS_A,1,0,[],ITI duration: 3.21s,29
PID002,PID002,20251106_162601,2025-11-06 16:26:01,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,A5,Abstract,5,10,ConcreteFirst,3,2021_CH_83,2021,CH,83,abstract,4186.611267,4186.632524,4228.743082,4232.950452,4310.301067,77.35068110000066,77.350663,A,ANS_A,1,0,[],ITI duration: 4.22s,30
