participant_id,session_id,2017_CH_47,2017_CH_68,2017_CH_69,2017_CH_75,2018_CH_77,2018_LC_44,2019_CH_56,2019_CH_64,2019_CH_65,2020_CH_56,2020_CH_59,2020_CH_70,2020_CH_76,2020_CH_77,2020_CH_78,2020_CH_82,2020_CH_84,2020_LC_31,2021_CH_46,2021_CH_51,2021_CH_57,2021_CH_65,2021_CH_76,2021_CH_83,2021_CH_86,2021_LC_26,2022_CH_47,2022_CH_51,2022_CH_60,2022_CH_71
PID018,2025-11-20_002,-2.0197527374768378e-07,3.686328111583794e-08,-2.0876214742249896e-09,-1.7251229812940752e-07,-1.5270047851416506e-07,-1.2243469326525204e-07,-4.4449999205431365e-08,-1.2049183441134426e-07,-1.487012883053335e-07,-6.767999230221113e-08,-2.03425325902556e-07,,1.5321912729098237e-07,4.906005419116016e-08,-1.1015320102849117e-07,-8.271022409129289e-08,,-8.138777535278814e-08,-2.497929202542699e-07,-9.604340555416292e-08,-9.789274570948409e-08,-1.595437907844209e-07,-1.9723014780646478e-07,-4.4642192665926304e-08,-1.1599488264546637e-07,6.333524357222242e-09,7.987086279640108e-08,-4.7204083596105327e-08,-5.282554515386274e-08,-4.520992146088121e-08
PID019,2025-11-20_003,7.610010541959557e-08,-9.413961459466126e-08,7.605980852712787e-08,-1.6765581085775173e-07,-2.580503597073621e-07,-1.1420364784435745e-07,9.072204696950768e-07,-8.30765117819993e-07,-1.0728690129323701e-07,-4.517855811365512e-08,2.6084149876500686e-08,1.1169705519418405e-07,-6.49875601542584e-08,-3.0656962163623045e-07,-1.5785063944466905e-07,1.7994088221910009e-07,-5.610010162117368e-07,-4.554593987708816e-07,-2.898647898016305e-07,-2.1694769958022954e-07,-4.434404868636528e-08,-1.4803551014883506e-07,5.6152099235632146e-08,-3.758614712544233e-07,-2.2390047516236893e-07,-1.1933390310978176e-07,3.081078721662834e-07,5.742321043075351e-07,-5.64773889048364e-07,2.575649281052421e-07
PID020,2025-11-20_004,-1.8196603146727246e-07,-1.7289645547896298e-07,-2.744552377608088e-07,5.255046141310851e-08,2.7209779014509912e-08,8.590272343209062e-09,1.0222102222114098e-08,-1.7093736587315313e-07,-1.2280074957305776e-07,-2.1706928333601854e-07,1.3977975490630866e-07,6.491097475485114e-07,-1.901603036312331e-09,2.29361859801563e-07,-4.919740688113664e-07,-2.9614653295348063e-08,3.389249071762308e-08,2.617263071775761e-07,-7.325149076415104e-08,6.59611587033914e-08,6.930103528428588e-09,1.986568005686131e-07,8.460920191727805e-08,5.8345948859579036e-08,-2.621843798255012e-07,-2.3679003426637146e-07,1.0851662777219953e-07,1.8897132297593962e-07,-2.1560511859740483e-08,2.9788801980597937e-07
PID021,2025-11-21_001,-7.841767953842321e-08,-2.337271898441288e-07,-1.0054015432045072e-07,2.502353316007301e-07,-2.1740690676250177e-07,3.8952333715992754e-07,-8.64916644993989e-08,8.020502996786952e-09,-7.854930623300698e-08,-2.25188716598927e-07,1.2138710443554398e-07,-7.539765308631518e-08,5.152080715656436e-08,2.1787056750277694e-07,2.766100749783129e-07,-1.0259616738166747e-07,4.677912640967639e-08,-2.751322018852372e-07,-3.497590361307268e-07,-2.3649268080900175e-07,-1.7258951015587466e-07,1.9933141851759773e-07,-1.4752502164094508e-08,-9.212471851683852e-08,4.448507123701024e-07,-1.9173422621412298e-07,-1.200903028521443e-07,1.762104071265645e-08,-2.726123724162968e-07,-2.6862329134145577e-07
PID022,2025-11-21_002,-2.745389067565437e-07,1.920662310131425e-07,1.39072142783764e-07,-4.260402207267401e-07,-5.002693286250762e-07,-5.961163174640081e-07,-3.231386948117753e-07,-2.956211394765061e-07,-1.9571034397858005e-07,-4.408679361037006e-07,-4.772164572649637e-08,-4.94327952828951e-07,-3.313705533021809e-07,-2.1428639967288653e-07,-4.0284887482617627e-07,-7.185427260261318e-07,1.3467628723854992e-08,-1.2040377976662625e-08,-8.233318711639219e-08,-2.824333894072488e-07,-1.3461854593516414e-07,3.6628381902658186e-07,-3.095080240783608e-08,1.5122958853719298e-07,-4.214419308760382e-08,-4.815650534754918e-07,-2.384423104873807e-07,-2.7257821446406736e-08,2.8873929808074254e-07,-5.487730532198844e-09
PID023,2025-11-21_003,1.836874446650149e-07,-2.0980988063722375e-07,1.2355170819025701e-07,3.390778733523186e-09,-1.0865479985003497e-07,1.79858912092285e-08,-1.915355942650202e-07,-9.643174688744545e-08,-8.391906109467653e-08,8.722128204019838e-09,9.27135566362551e-09,-9.507347599771889e-08,-1.1648692105535677e-07,-5.674667410515698e-08,-1.4430117378087288e-07,-9.170212404170296e-08,-2.4127920772415026e-07,4.6025684734668174e-08,1.143484622089584e-07,-2.3333893790327605e-07,-3.610942102025474e-07,-1.756965671789843e-07,-2.42238294627185e-07,-2.47021248932426e-07,-2.0277203048645776e-08,2.7449358314310764e-08,1.8827938098062054e-07,1.0607466000409769e-07,-1.663248076962129e-07,-2.472845160223489e-07
PID024,2025-11-25_001,3.0012463968158725e-07,6.39277567448017e-08,-1.8244209185449e-07,-5.026972687017221e-08,-1.4888653100983206e-07,8.562497042061554e-08,-3.102777848244566e-08,2.9583647097710585e-07,-1.3740398169590098e-07,7.929975210798172e-08,6.411356436236721e-07,-1.0764361453321945e-07,2.5207187831883944e-07,1.557173892868472e-07,1.7428776273766717e-07,-1.423409674173754e-07,3.178432235444809e-07,7.727405849367291e-09,-2.803397270663284e-07,3.01766356220529e-07,3.663545095231664e-08,-1.481573999544989e-07,-2.3748036467902447e-07,1.567305535157351e-07,-6.503908897841266e-08,-1.739613678129405e-07,2.057187633051107e-07,2.2017582761467697e-07,3.0899766182887173e-07,-8.850523432472122e-08
PID025,2025-11-25_002,-5.080954254810338e-08,-1.0627966430466521e-07,2.641934142291071e-07,-8.492507639009804e-08,1.809983029583092e-07,-4.85572057232965e-07,2.12719105188547e-07,1.577336874285663e-07,-2.2411107613121101e-07,-6.056821386422419e-08,-3.321799253472657e-07,-1.717721039473215e-07,3.85425526899442e-07,-5.439173253458468e-08,3.3125642637015184e-08,-1.4904317027717446e-07,-3.529586071601802e-07,4.1277727816578887e-08,-5.3695407489024254e-08,8.477788836329027e-08,1.9911312951429777e-07,-4.838173595202337e-07,-3.843374702977635e-08,-3.893193617648671e-08,7.960385054488343e-08,9.127860516418164e-08,1.3798890399361861e-07,-2.237606002444781e-07,1.276274671050717e-07,-1.734965251539982e-07
PID026,2025-11-25_003,-1.1153289519126385e-07,3.097472165515048e-07,-2.1542962964814773e-07,2.137231524469636e-07,-1.8416286454977226e-07,-3.139134750010006e-07,-3.683701044376788e-07,-2.0560959466160222e-09,-2.1247423362981317e-07,4.4533336450991754e-08,-9.144456005868569e-08,-1.3995934928982988e-07,-5.069322237075201e-08,1.318066542790893e-07,4.6586070175332973e-07,-1.5354774781710592e-07,-1.6267660746422916e-07,-2.2726528077897263e-08,-2.3602111871788766e-07,-2.2437555565113225e-07,8.799207414164417e-09,-2.486236992150172e-07,-1.3356688403821672e-07,-5.7353347479522576e-08,-8.294025344905068e-08,-1.0715087184373363e-07,-3.814901303436819e-08,-2.0982128142977607e-07,-1.1173623101867359e-07,-1.0001501798011493e-07
PID027,2025-11-25_004,3.927272985450473e-08,-1.365526113798294e-07,-2.036953805092279e-07,-2.1270231633284155e-07,3.2391958020110893e-07,-1.8287071734912586e-07,2.2857957981154412e-08,-2.828371313766564e-07,1.2738908404555408e-07,2.881170492505634e-07,-1.1245674695961403e-07,-3.289615526320753e-07,-4.594167829377202e-08,4.305895429635308e-07,6.79410061190477e-07,-1.1856478620935353e-07,-7.14537187135905e-08,3.068071558492798e-09,-1.397212088005006e-07,2.810997675261201e-07,-1.2616033992744684e-07,-9.104454062918845e-08,-2.81076932588763e-07,-2.2403837075734558e-07,-1.9555426604939435e-07,8.442786714239812e-08,1.5013028437529497e-07,4.364556037699e-07,3.7906260584502827e-08,-2.0548450473983597e-07
