participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,block,global_block_order,within_block_position,cumulative_trial_order,z_log_total_word_count,z_enem_correctness,response_time_sec,front_roi_mean_variable_lag4,front_roi_mean,back_roi_mean_variable_lag4,manual_override_session,no_override_cohort,type,abstracness,z_abstracness,z_abstracness_sq,threshold_distance_raw,z_threshold_distance,total_word_count,sentence_count,sentence_length,correctness,question_start_time,baseline_start_time,baseline_end_time,primary_window_start_time,primary_window_end_time,anterior_dorsal_n_channels,anterior_dorsal_mean_variable_lag4,anterior_ventral_n_channels,anterior_ventral_mean_variable_lag4,posterior_dorsal_n_channels,posterior_dorsal_mean_variable_lag4,posterior_ventral_n_channels,posterior_ventral_mean_variable_lag4
PID032,30,2025-11-27_001,2017_CH_47,0,Concrete,0.0,C3,8,1,22,-0.4260686437746248,1.0979750828394783,54.740686000000096,-2.445894561714998e-07,3.0010860971230885e-08,-1.8830614057278602e-07,False,True,concrete,0.33329999999999993,-0.8029105168484137,0.6446652980657869,0.16670000000000007,-1.3197672551977875,62,2,31.0,0.527917465166208,3320.029761,3318.029761,3320.029761,3324.029761,3378.770447,4,-2.9092201406636753e-07,5,-2.7777721560268835e-07,4,-4.338209357593991e-07,6,-1.8403318728244756e-07
PID032,30,2025-11-27_001,2020_CH_56,9,Concrete,0.0,C3,8,2,23,-2.2518477633179645,0.7573109318980379,114.5007730000002,3.332159389029529e-07,3.3642936119311187e-08,2.7723959374457374e-07,False,True,concrete,0.33329999999999993,-0.8029105168484137,0.6446652980657869,0.16670000000000007,-1.3197672551977875,29,2,14.5,0.4830001778034939,3379.749579,3377.749579,3379.749579,3383.749579,3497.589966,4,1.692175823552648e-07,5,4.3513999674716734e-07,4,2.411810516123144e-07,6,3.110330042505844e-07
PID032,30,2025-11-27_001,2020_CH_59,10,Concrete,0.0,C3,8,3,24,-0.2041092841510671,0.5696170426960993,102.12731299999996,9.805799965037997e-08,3.764937495481472e-07,-4.153393851420648e-07,False,True,concrete,0.33329999999999993,-0.8029105168484137,0.6446652980657869,0.16670000000000007,-1.3197672551977875,68,4,17.0,0.4582523423350119,3498.089966,3496.089966,3498.089966,3502.089966,3604.217279,4,-2.997882748731558e-09,5,-1.5757830354223253e-08,4,-3.956471679552646e-07,6,-3.517169599525584e-07
PID032,30,2025-11-27_001,2020_CH_82,15,Concrete,0.0,C4,9,1,25,0.8398158527831238,0.4360691378486896,115.10972200000016,-1.506031796913979e-07,-2.0834273778441493e-07,2.0741139442745322e-07,False,True,concrete,0.16670000000000007,-1.2487538600188395,1.5593862029119514,0.33329999999999993,-0.22025452992132732,105,7,15.0,0.4406437691929831,3743.816899,3741.816899,3743.816899,3747.816899,3862.926621,4,-1.0341914710992737e-07,5,-1.6187793912729122e-07,4,3.321043422960371e-07,6,1.282582976408204e-07
PID032,30,2025-11-27_001,2017_CH_68,1,Concrete,0.0,C4,9,2,26,-0.9914934219713682,-1.3364726213150109,151.31074999999964,-1.0697158702189601e-07,3.6249550082899206e-08,-2.72007838058496e-07,False,True,concrete,0.16670000000000007,-1.2487538600188395,1.5593862029119514,0.33329999999999993,-0.22025452992132732,49,1,49.0,0.2069303968327291,3864.340982,3862.340982,3864.340982,3868.340982,4019.651732,4,-1.4256416748382977e-07,5,-1.9558516081928784e-07,4,-2.3259756043913962e-07,6,-1.437555651281424e-07
PID032,30,2025-11-27_001,2018_CH_77,4,Concrete,0.0,C4,9,3,27,-0.94294931884182,-1.310288679405072,96.9459539999998,4.162357358270886e-07,5.062897648616957e-07,2.4065738774703005e-07,False,True,concrete,0.0,-1.6948648162403883,2.872566745329565,0.5,0.8799181669789496,50,1,50.0,0.2103828048416349,4020.656812,4018.656812,4020.656812,4024.656812,4121.602766,4,2.393281229913185e-07,5,4.4148400500768167e-07,4,1.3285351790065193e-07,6,2.2050267458199425e-07
PID032,30,2025-11-27_001,2021_CH_46,18,Concrete,0.0,C5,10,1,28,-0.3125269842682109,1.4273572571066844,127.4292059999998,-1.6154967703427694e-07,3.980882133435253e-07,2.4375682033267824e-07,False,True,concrete,0.33329999999999993,-0.8029105168484137,0.6446652980657869,0.16670000000000007,-1.3197672551977875,65,5,13.0,0.5713472000908519,4165.762122,4163.762122,4165.762122,4169.762122,4297.191328,4,-9.890995709304032e-08,5,-1.1013050982804386e-07,4,1.1217167563839128e-07,6,3.042973017032498e-07
PID032,30,2025-11-27_001,2021_LC_26,25,Concrete,0.0,C5,10,2,29,2.264859834801295,-0.5607517593851553,143.0059369999999,-4.903788127958082e-07,2.3683060668133762e-08,-5.175390636186543e-07,False,True,concrete,0.16670000000000007,-1.2487538600188395,1.5593862029119514,0.33329999999999993,-0.22025452992132732,190,9,21.11,0.3092108298406186,4298.044318,4296.044318,4298.044318,4302.044318,4445.050255,4,-4.060570807441275e-07,5,-5.787887467757816e-07,4,-5.166898196023176e-07,6,-4.968387853174504e-07
PID032,30,2025-11-27_001,2017_CH_69,2,Concrete,0.0,C5,10,3,30,-0.4260686437746248,-0.7521308608059422,96.5645510000004,2.537913714301568e-07,1.990060754083368e-07,-3.58709170483358e-08,False,True,concrete,0.33329999999999993,-0.8029105168484137,0.6446652980657869,0.16670000000000007,-1.3197672551977875,62,4,15.5,0.283977091362474,4446.186328,4444.186328,4446.186328,4450.186328,4546.750879,4,3.836772521566216e-07,5,1.2711280012478227e-07,4,1.0555869771813961e-07,6,-2.790618657029297e-09
PID033,31,2025-11-27_002,2019_CH_56,6,Abstract,1.0,A1,1,1,1,-0.0667661106566081,0.0717737519545465,121.660064,-3.760974645118818e-07,2.520751920235184e-07,4.107460273177004e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,72,2,36.0,0.3926106536218327,251.409453,249.409453,251.409453,255.409453,377.069517,2,-1.2332496222576247e-07,5,-5.146771415540111e-07,2,-3.199916814744452e-07,6,2.460823373409578e-09
