participant_id,session_id,roi_slug,roi_label,n_requested_channels,n_available_channels,requested_channels,available_channels
PID016,2025-11-19_004,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID016,2025-11-19_004,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID016,2025-11-19_004,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID016,2025-11-19_004,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID017,2025-11-20_001,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID017,2025-11-20_001,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID017,2025-11-20_001,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID017,2025-11-20_001,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID018,2025-11-20_002,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID018,2025-11-20_002,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID018,2025-11-20_002,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID018,2025-11-20_002,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID019,2025-11-20_003,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
