participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,abstracness,z_abstracness,global_block_order,within_block_position,z_log_total_word_count,z_enem_correctness,response_time_sec,manual_override_session,no_override_cohort,question_start_time,baseline_start_time,baseline_end_time,primary_window_start_time,primary_window_end_time,outcome_variable,roi_mean_variable_lag4,roi_slug,roi_label
PID002,1,2025-11-06_PID002,2022_CH_47,26,Abstract,1.0,1.0,0.9812656949866586,8,3,1.0374217805060666,0.6865312817739867,117.85933299999988,False,True,3408.335661,3406.335661,3408.335661,3412.335661,3530.194994,anterior_dorsal_mean_variable_lag4,-1.1419167631250267e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2022_CH_51,27,Abstract,1.0,1.0,0.9812656949866586,8,2,0.4959657933609324,-0.9765675923399836,78.03264200000012,False,True,3326.099022,3324.099022,3326.099022,3330.099022,3407.835661,anterior_dorsal_mean_variable_lag4,-1.3562483874043718e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2022_CH_60,28,Abstract,1.0,1.0,0.9812656949866586,10,1,0.4425668985007616,0.5286921676923586,78.10410500000035,False,True,4066.078606,4064.078606,4066.078606,4070.078606,4147.422892,anterior_dorsal_mean_variable_lag4,-2.6724822087214754e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2022_CH_71,29,Abstract,1.0,1.0,0.9812656949866586,9,2,-0.5452427221661849,0.4620415654524358,80.68608499999982,False,True,3744.361973,3742.361973,3744.361973,3748.361973,3828.608376,anterior_dorsal_mean_variable_lag4,-2.2206541427339427e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2017_CH_47,0,Concrete,0.0,0.33329999999999993,-0.8029105168484137,2,1,-0.4260686437746248,1.0979750828394783,53.64940100000001,False,True,598.516963,596.516963,598.516963,602.516963,655.607256,anterior_dorsal_mean_variable_lag4,-7.119515956754563e-08,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2017_CH_68,1,Concrete,0.0,0.16670000000000007,-1.2487538600188395,4,3,-0.9914934219713682,-1.3364726213150109,79.66827199999989,False,True,1642.263312,1640.263312,1642.263312,1646.263312,1725.931584,anterior_dorsal_mean_variable_lag4,-7.879826722527972e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2017_CH_69,2,Concrete,0.0,0.33329999999999993,-0.8029105168484137,2,2,-0.4260686437746248,-0.7521308608059422,95.59444399999995,False,True,656.107256,654.107256,656.107256,660.107256,755.063846,anterior_dorsal_mean_variable_lag4,-1.8686242194389476e-06,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2017_CH_75,3,Concrete,0.0,0.33329999999999993,-0.8029105168484137,1,2,0.929652535764228,-1.4157789468713895,61.20237399999999,False,True,209.10806,207.10806,209.10806,213.10806,273.810587,anterior_dorsal_mean_variable_lag4,6.210178821496981e-08,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2018_CH_77,4,Concrete,0.0,0.0,-1.6948648162403883,5,2,-0.94294931884182,-1.310288679405072,75.15013299999987,False,True,1940.135017,1938.135017,1940.135017,1944.135017,2018.54203,anterior_dorsal_mean_variable_lag4,-4.954865327689691e-08,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2018_LC_44,5,Concrete,0.0,0.16670000000000007,-1.2487538600188395,2,3,1.389688140576973,-0.6674086028177602,118.63443599999994,False,True,755.563846,753.563846,755.563846,759.563846,878.198282,anterior_dorsal_mean_variable_lag4,-1.6978847990768211e-06,anterior_dorsal,Anterior Dorsal
